MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
101681,Moris Rasik,Moris Rasik,East Timor,East Asia and the Pacific,NGO,Non-profit
149276,Moskovskiy oblastnoy fond razvitiya,Moskovskiy oblastnoy fond razvitiya,Russia,Eastern Europe and Central Asia,NBFI,Profit
176786,MOTHER FINANCIAL,MOTHER FINANCIAL JAPAN Plc,Cambodia,East Asia and the Pacific,Unknown,Unknown
170671,Motor Crédito,"Motor Crédito, S.A., Banco de Ahorro y Crédito",Dominican Republic,Latin America and The Caribbean,Bank,Profit
133928,Moyofade MFB,Moyofade Microfinance Bank Limited,Nigeria,Africa,Bank,Profit
100526,Moznosti,Savings House Moznosti LLC Skopje,Macedonia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
102761,MPC AMID,MPC AMID,Guinea-Bissau,Africa,Credit Union / Cooperative,Non-profit
101709,MPGBB,Madhya Pashimanchal Grameen Bikash Bank Ltd,Nepal,South Asia,Rural Bank,Profit
157899,M-power,M Power Micro Finance Pvt Ltd,India,South Asia,NBFI,Profit
100182,MRFC,Malawi Rural Finance Company Limited,Malawi,Africa,NBFI,Profit
128974,MSFP,Mutuelle de Services Financiers pour la Prosperité,Benin,Africa,Credit Union / Cooperative,Non-profit
170610,MSM,MSM microfinance Ltd,India,South Asia,NBFI,Unknown
101932,MSPS,Mahila Sahakara Podupu Samithi,India,South Asia,NGO,Non-profit
152521,MSS Bangladesh,Manabik Shahajya Sangstha,Bangladesh,South Asia,NGO,Unknown
170822,MTBank,Minsk Transit Bank JSC,Belarus,Eastern Europe and Central Asia,Bank,Profit
104405,MUCOBA,Mufindi Community Bank Ltd,Tanzania,Africa,Bank,Unknown
101447,MUCODEC,Mutuelles Congolaises d'Epargne et de Crédit,"Congo, Republic of the",Africa,Credit Union / Cooperative,Non-profit
100230,MUCREFBO,Mutuelle de Crédit et d'Epargne des Femmes de la Région de Bouaflé,Cote d'Ivoire (Ivory Coast),Africa,Credit Union / Cooperative,Non-profit
106044,MUCREFEKI,Mutuelle de crédit et d'épargne des femmes de Kikwit,"Congo, Democratic Republic of the",Africa,Credit Union / Cooperative,Non-profit
100801,MUDE,Asociación de Mujeres en Desarrollo,Guatemala,Latin America and The Caribbean,NGO,Non-profit
120104,MUDE - DOM,"Mujeres en Desarrollo Dominicana, Inc.",Dominican Republic,Latin America and The Caribbean,NGO,Non-profit
